,feature_1,feature_2,feature_3,feature_4,label
0,10.0,5.0,3.0,24.0,1.0
1,12.0,2.0,11.0,26.0,1.0
2,10.0,3.0,3.0,30.0,1.0
3,9.0,10.0,14.0,17.0,0.0
4,15.0,2.0,11.0,28.0,1.0
5,10.0,10.0,8.0,7.0,0.0
6,13.0,2.0,9.0,23.0,1.0
7,11.0,1.0,5.0,31.0,1.0
8,13.0,4.0,9.0,21.0,1.0
9,4.0,1.0,5.0,23.0,1.0
10,14.0,11.0,13.0,17.0,0.0
11,14.0,3.0,2.0,31.0,1.0
12,8.0,15.0,11.0,4.0,0.0
13,11.0,12.0,8.0,9.0,0.0
14,13.0,0.0,8.0,30.0,1.0
15,20.0,1.0,7.0,30.0,1.0
16,14.0,2.0,10.0,32.0,1.0
17,13.0,11.0,15.0,16.0,0.0
18,13.0,1.0,8.0,28.0,1.0
19,13.0,2.0,9.0,29.0,1.0
20,8.0,2.0,8.0,25.0,1.0
21,12.0,14.0,8.0,11.0,0.0
22,10.0,7.0,17.0,14.0,0.0
23,12.0,0.0,7.0,20.0,1.0
24,10.0,14.0,16.0,14.0,0.0
25,8.0,10.0,10.0,14.0,0.0
26,15.0,1.0,1.0,28.0,1.0
27,8.0,4.0,4.0,19.0,1.0
28,14.0,16.0,14.0,9.0,0.0
29,7.0,9.0,9.0,9.0,0.0
30,16.0,3.0,6.0,27.0,1.0
31,15.0,11.0,18.0,10.0,0.0
32,12.0,4.0,9.0,38.0,1.0
33,12.0,3.0,8.0,30.0,1.0
34,11.0,4.0,9.0,31.0,1.0
35,9.0,1.0,6.0,33.0,1.0
36,6.0,9.0,13.0,10.0,0.0
37,18.0,9.0,16.0,13.0,0.0
38,10.0,5.0,6.0,33.0,1.0
39,14.0,9.0,18.0,11.0,0.0
40,11.0,2.0,5.0,24.0,1.0
41,13.0,19.0,16.0,13.0,0.0
42,7.0,1.0,5.0,33.0,1.0
43,15.0,2.0,8.0,30.0,1.0
44,14.0,16.0,4.0,18.0,0.0
45,17.0,6.0,7.0,26.0,1.0
46,11.0,12.0,16.0,15.0,0.0
47,13.0,2.0,8.0,24.0,1.0
48,19.0,14.0,17.0,15.0,0.0
49,13.0,4.0,8.0,38.0,1.0
50,14.0,4.0,3.0,30.0,1.0
51,10.0,3.0,10.0,28.0,1.0
52,15.0,0.0,5.0,27.0,1.0
53,12.0,4.0,11.0,32.0,1.0
